,0
0,3.4771860000000006
1,4.6536463333333336
2,4.3520536666666665
3,2.7294736
4,2.4573465333333333
5,4.233812133333333
6,4.111386733333332
7,3.3686467999999996
8,5.1425256
9,2.9265464
10,3.675968933333334
11,2.4053266000000004
12,3.9351328666666676
13,3.317174466666667
14,3.0250602666666664
15,2.5051662
16,2.949939866666667
17,4.347873866666666
18,3.5958061999999997
19,2.330733066666667
20,2.7231129999999992
21,2.5208861333333332
22,3.119499466666667
23,2.660513266666667
