,0
0,4.281431333333334
1,3.8947592000000006
2,3.0416991333333327
3,3.1175992666666663
4,2.3624126666666667
5,3.285252866666667
6,2.9021194666666665
7,2.6351525999999996
8,11.663355266666665
9,11.056903933333334
10,12.8047314
11,8.945316866666667
12,9.0199172
13,11.5405032
14,9.214800666666665
15,9.360331466666668
16,3.245284466666667
17,4.806752399999999
18,2.6227596666666666
19,2.782975733333333
20,3.080089333333333
21,2.4727400000000004
22,2.241426599999999
23,2.690152933333333
