,Name,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,Mean Sample 1 (Seconds),SD Sample 1 (Seconds),Mean Sample 2 (Seconds),SD Sample 2 (Seconds),Diff In Seconds
T-test,Resumption Lag's Stats for H1 Btw Exp and Control,-0.17087700850793125,118,greater,0.5676934314886897,[-6.24   inf],0.03119773070626538,0.394,0.03478084785692226,7.973910533333334,18.127891037461065,8.557272183333334,18.947785165350574,-0.5833616499999996
T-test,Resumption Lag's Stats for H2 Btw Exp and Control,-0.7800682315648507,118,less,0.21845631212511807,[-inf 2.31],0.14242032227374407,0.512,0.19235441593862912,7.611039250000001,14.581215449745761,9.66107135,13.959580777192551,-2.0500320999999992
T-test,Interruption Lag's Stats for H1 Btw Exp and Control,1.3080335234170164,118,greater,0.0967021726768237,[-0.58   inf],0.2388131555828206,0.84,0.36530265958038166,7.041644880000001,9.015799298061525,4.868383733333333,9.032399297868766,2.1732611466666674
T-test,Interruption Lag's Stats for H2 Btw Exp and Control,-1.0064082151088738,118,less,0.15813927215273807,[-inf 1.45],0.1837441604912139,0.614,0.25971892864197227,3.1485959083333332,13.104971398064176,5.384001866666667,10.924398271860436,-2.2354059583333337
T-test,Accuracy's Stats for H1 Btw Exp and Control,2.218655885939165,118,greater,0.014211623764882038,[2.54  inf],0.4050692920234966,3.504,0.7126194808543694,18.847192714692714,31.76060928252707,8.78563492063492,14.305933089947434,10.061557794057794
T-test,Accuracy's Stats for H2 Btw Exp and Control,-0.4476941434067875,118,less,0.3275973816439701,[-inf  4.8],0.08173739373561674,0.426,0.11512376601000836,15.559895706145706,19.02124833906124,17.33540394790395,23.794189773346247,-1.7755082417582422
T-test,Speed's Stats for H1 Btw Exp and Control,0.8709377483570424,118,greater,0.19277829164281524,[-25.65    inf],0.15901075031930334,0.548,0.21801789115902714,128.53114827166667,196.01222013585962,100.14074650333333,155.79624686856945,28.390401768333334
T-test,Speed's Stats for H2 Btw Exp and Control,-0.8078052511650241,118,less,0.21041408094257918,[ -inf 19.06],0.1474843860447367,0.522,0.19998494643169745,87.68074244833333,97.77143674956365,105.79200014833333,141.76860815988329,-18.111257699999996
