,Name,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,Mean Sample 1 (Seconds),SD Sample 1 (Seconds),Mean Sample 2 (Seconds),SD Sample 2 (Seconds),Diff In Seconds,Fraction In Seconds
T-test,Resumption Lag across both Conditions (H1),,4.862150907354617,119.0,greater,1.793068876071084e-06,[5.45  inf],0.2536210185445287,7787.974,0.8681257712012569,56.82362429166667,34.28223185938223,48.55803293333334,30.5169618275026,8.265591358333332,0.14546047460660658
T-test,Interruption Lag across both Conditions (H1),,7.147041479510833,119.0,greater,3.85985484919042e-11,[4.57  inf],0.6386946014196562,2.269e+08,0.9999999999986883,26.452841308333333,9.988358866232309,20.497827001666668,8.52335642303856,5.955014306666666,0.22511813522242244
T-test,Accuracy across both Conditions (H1),,5.9952590783447,119.0,greater,1.1171690202931036e-08,[10. inf],0.4472851202100427,9.756e+05,0.9993741162834853,48.236446886446885,39.16768857625937,34.42003306878307,18.92912918784237,13.816413817663815,13.816413817663815
T-test,Path Tracing Accuracy's Stats BTW Assessment and Testing H1,,3.0240852625233994,59.0,greater,0.0018442638733228102,[0.33  inf],0.36366638579156335,16.75,0.8727642283044481,18.083333333333332,1.8940696924875808,17.33888888888889,2.1572373164550473,0.7444444444444436,0.7444444444444436
T-test,Hanoi's Optimality Stats BTW Assessment and Testing H1,,6.814081309394904,59.0,greater,2.7898024845626297e-09,[20.29   inf],1.0170317120572763,4.271e+06,0.9999999999999983,78.38956043956044,35.30166629098063,51.50117724867725,11.333102743374388,26.88838319088319,26.88838319088319
T-test,Speed across both Conditions (H1),,7.022139219738571,119.0,greater,7.277345403234875e-11,[87.34   inf],0.5150875742037707,1.23e+08,0.9999999916201545,356.4519108216667,281.5859448529174,242.11596343416667,135.7677699931232,114.3359473875,0.3207612132698102
0,Metrics Stats BTW Assessment and Testing Within H2 across both Conditions,,,,,,,,,,,,,,,
T-test,Resumption Lag across both Conditions (H2),,6.5831371414911715,119.0,greater,6.527300271856631e-10,[6.46  inf],0.2994139253720167,1.488e+07,0.9469882884525462,54.469344066666665,30.54409699929506,45.83328876666667,26.777842382984133,8.636055299999995,0.15854891311762573
T-test,Interruption Lag across both Conditions (H2),,3.8412766107859846,119.0,greater,9.888907232515743e-05,[2.43  inf],0.3538074463316401,183.015,0.9864038318468087,25.186554701666665,12.729013799357546,20.920255814166666,11.240625906320131,4.2662988875,0.16938795075523713
T-test,Accuracy across both Conditions (H2),,8.32255204663838,119.0,greater,8.311099029540148e-14,[13.17   inf],0.6229161850832208,8.665e+10,0.9999999999955639,46.565384615384616,34.03265367735089,30.11773478835979,14.984329358352712,16.447649827024826,16.447649827024826
T-test,Path Tracing Accuracy's Stats BTW Assessment and Testing H2,,3.736855177399938,59.0,greater,0.00021130448046277156,[0.49  inf],0.45195477740060963,116.715,0.965269399202162,18.044444444444444,2.0004320520981778,17.166666666666668,1.8484227510682365,0.8777777777777764,0.8777777777777764
T-test,Hanoi's Optimality Stats BTW Assessment and Testing H2,,11.705037496840745,59.0,greater,2.5495062845830717e-17,[27.45   inf],1.5917265228148867,2.351e+14,1.0,75.0863247863248,26.183071778942427,43.06880291005291,10.496821184865622,32.017521876271886,32.017521876271886
T-test,Speed across both Conditions (H2),,8.6419707856957,119.0,greater,1.5018435521492136e-14,[78.18   inf],0.5113280953992854,4.566e+11,0.9999999893636361,336.017014695,226.36271029570884,239.28064339666668,140.5220955420218,96.73637129833332,0.28789128844008144
0,Metrics Stats BTW Assessment and Testing Within H1 of Experimental Intervention,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Within H1 of Experimental Intervention,,3.3787035050259404,59.0,greater,0.0006477105971666857,[4.03  inf],0.23350050352962834,42.487,0.5568698564714121,56.53520018333333,36.850553951890745,48.56128965,30.586465157408604,7.973910533333331,0.14104328820761924
T-test,Interruption Lag's Stats BTW Assessment and Testing Within H1 of Experimental Intervention,,5.999235213636812,59.0,greater,6.4851159731876e-08,[5.08  inf],0.7790440970584998,2.16e+05,0.9999999992024732,26.979937166666666,10.816764857683339,19.938292286666666,6.608709513402089,7.04164488,0.260995599674704
T-test,Accuracies' Stats BTW Assessment and Testing Within H1 of Experimental Intervention,,4.55810003177003,59.0,greater,1.3253288938163058e-05,[11.94   inf],0.5107429014385045,1481.169,0.9882561398178771,54.670909645909646,47.442245658221104,35.82371693121693,20.670943094810657,18.847192714692717,18.847192714692717
T-test,Speed's Stats BTW Assessment and Testing Within H1 of Experimental Intervention,,5.036759862886558,59.0,greater,2.38273147172363e-06,[85.89   inf],0.5737540589338901,7306.169,0.9969993117365541,373.88971338333334,288.69957677479147,245.35856511166668,123.88601598625353,128.53114827166667,0.3437675433982563
0,Metrics Stats BTW Assessment and Testing Within H2 of Experimental Intervention,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Within H2 of Experimental Intervention,,4.009370959059378,59.0,greater,8.673827160339611e-05,[4.44  inf],0.23802086545377613,262.71,0.5704996668276661,56.2203592,32.99286335264193,48.60931995,30.37041954845627,7.6110392499999975,0.1353787019204957
T-test,Interruption Lag's Stats BTW Assessment and Testing Within H2 of Experimental Intervention,,1.8454694282372557,59.0,greater,0.034994535999496416,[0.3 inf],0.2530613612613085,1.382,0.6151616400232615,24.84398038666667,10.29036932203129,21.695384478333334,14.090995802924771,3.148595908333334,0.12673476066754305
T-test,Accuracies' Stats BTW Assessment and Testing Within H2 of Experimental Intervention,,6.283385012912285,59.0,greater,2.179209460023612e-08,[11.42   inf],0.5980520429164855,6.063e+05,0.9983251591444423,46.05402930402931,33.24128412747125,30.4941335978836,15.042841693494042,15.559895706145706,15.559895706145706
T-test,Speed's Stats BTW Assessment and Testing Within H2 of Experimental Intervention,,6.888397924969472,59.0,greater,2.0891900870167745e-09,[66.41   inf],0.45898063214475276,5.625e+06,0.9692017601531866,336.70722284166663,220.18354441830067,249.02648039333334,152.61209286957515,87.68074244833329,0.2604064792799658
0,Metrics Stats BTW Assessment and Testing Within H1 of Control Comparison,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Within H1 Control Comparison,,3.46898881693907,59.0,greater,0.0004911659452910253,[4.44  inf],0.27391271238611264,54.467,0.6745222515974418,57.1120484,31.502589401938646,48.55477621666667,30.44729949149389,8.557272183333332,0.14983304614466134
T-test,Interruption Lag's Stats BTW Assessment and Testing Within H1 Control Comparison,,4.140069961378865,59.0,greater,5.5994223829251553e-05,[2.9 inf],0.5047305085545708,392.286,0.9867697526897347,25.92574545,9.0540909873452,21.057361716666666,10.049577593172454,4.868383733333335,0.1877818226180777
T-test,Accuracies' Stats BTW Assessment and Testing Within H1 Control Comparison,,4.717185652180961,59.0,greater,7.545999719691224e-06,[5.67  inf],0.3857713739762672,2497.19,0.9046947225804278,41.80198412698413,27.104323671931994,33.01634920634921,16.89364727996406,8.78563492063492,8.78563492063492
T-test,Speed's Stats BTW Assessment and Testing Within H1 Control Comparison,,4.937189981485013,59.0,greater,3.422173190703972e-06,[66.25   inf],0.4529635388348004,5212.002,0.9658581506856313,339.01410826,273.17702892285325,238.87336175666667,146.61855561144742,100.14074650333333,0.29538813891052706
0,Metrics Stats BTW Assessment and Testing Within H2 of Control Comparison,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Within H2 Control Comparison,,5.31592590811541,59.0,greater,8.528897525110085e-07,[6.62  inf],0.3805463601151509,1.91e+04,0.897739603116065,52.71832893333333,27.77089452654097,43.05725758333333,22.27847848406506,9.66107135,0.18325830020555509
T-test,Interruption Lag's Stats BTW Assessment and Testing Within H2 Control Comparison,,3.785590932837757,59.0,greater,0.00018061386310471797,[3.01  inf],0.4587608608883007,134.595,0.9690845921615185,25.529129016666666,14.76242424204343,20.14512715,7.276367907246128,5.384001866666665,0.21089641809368917
T-test,Accuracies' Stats BTW Assessment and Testing Within H2 Control Comparison,,5.5961461848633895,59.0,greater,2.992668782272959e-07,[12.16   inf],0.6421131560270008,5.108e+04,0.9994639879270558,47.07673992673993,34.798521429693466,29.74133597883598,14.916092460696179,17.335403947903952,17.335403947903952
T-test,Speed's Stats BTW Assessment and Testing Within H2 Control Comparison,,5.731902024328619,59.0,greater,1.792898093987529e-07,[74.95   inf],0.560706173892182,8.275e+04,0.9959495732772364,335.3268065483333,232.3755736252431,229.5348064,126.54052751383314,105.7920001483333,0.31548924238207204
0,Metrics Stats BTW Assessment and Testing Within Experimental Intervention,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Within Experimental Intervention,,5.167085318860228,119.0,greater,4.845824571618937e-07,[5.29  inf],0.23655387760687488,2.686e+04,0.8242508496684029,56.37777969166667,34.97529071494408,48.5853048,30.478643242682935,7.792474891666664,0.13821890351631724
T-test,Interruption Lag's Stats BTW Assessment and Testing Within Experimental Intervention,,4.869152395501773,119.0,greater,1.7409222175671427e-06,[3.36  inf],0.4686018132309761,8008.039,0.9997288708476851,25.911958776666665,10.610731795056125,20.8168383825,11.040264730421613,5.095120394166667,0.196632004476433
T-test,Accuracies' Stats BTW Assessment and Testing Within Experimental Intervention,,7.154931794531946,119.0,greater,3.707775036436251e-11,[13.22   inf],0.5376911479205424,2.358e+08,0.9999999980703234,50.36246947496947,41.18783167970495,33.15892526455026,18.27261891325235,17.20354421041921,17.20354421041921
T-test,Speed's Stats BTW Assessment and Testing Within Experimental Intervention,,7.548557738623334,119.0,greater,4.895099061402902e-12,[84.36   inf],0.5204220304494177,1.669e+09,0.9999999940424914,355.2984681125,257.40970034556784,247.1925227525,139.00525646218355,108.10594536000002,0.30426797485028806
0,Metrics Stats BTW Assessment and Testing Within Control Comparison,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Within Control Comparison,,5.96784475625461,119.0,greater,1.2714682083505307e-08,[6.58  inf],0.3201250459005544,8.62e+05,0.9672551623339926,54.915188666666666,29.776568868888194,45.8060169,26.81865027785326,9.109171766666663,0.16587709134460096
T-test,Interruption Lag's Stats BTW Assessment and Testing Within Experimental Intervention,,5.577260866976762,119.0,greater,7.773026376540865e-08,[3.6 inf],0.47897990938452106,1.53e+05,0.9998228548118971,25.727437233333333,12.247129978219224,20.601244433333335,8.785090371621283,5.126192799999998,0.19925003619708886
T-test,Accuracies' Stats BTW Assessment and Testing Within Control Comparison,,7.09107308721806,119.0,greater,5.1309807749388864e-11,[10.01   inf],0.5230991218408257,1.724e+08,0.999999994986271,44.43936202686203,31.30090238139483,31.378842592592594,16.01948795274162,13.060519434269434,13.060519434269434
T-test,Speed's Stats BTW Assessment and Testing Within Experimental Intervention,,7.539752475798422,119.0,greater,5.123937703227994e-12,[80.33   inf],0.5030529028890899,1.596e+09,0.9999999821263243,337.17045740416665,253.6049037831629,234.20408407833332,137.02757069499012,102.96637332583333,0.3053837341461011
0,Metrics Stats BTW Pre- and Post-Intervention across both Hypotheses and Conditions,,,,,,,,,,,,,,,
T-test,Pre- vs Post Resumption Lag across both Conditions (BothHypotheses),,7.88714594891372,239.0,greater,5.5114054862085764e-14,[6.68  inf],0.2749496978776633,1.093e+11,0.9953733428758306,55.64648417916667,32.488340989127934,47.19566085,28.74064993398796,8.450823329166667,0.15186625810819054
T-test,Pre- vs Post Interruption Lag across both Conditions (BothHypotheses),,7.35432647513727,239.0,greater,1.5247488921728767e-12,[3.96  inf],0.4747084703788277,4.304e+09,0.999999999999904,25.819698005,11.458552396135998,20.70904140791667,9.97718644034487,5.110656597083331,0.19793634286867529
T-test,Pre- vs Post Accuracy across both Conditions (BothHypotheses),,9.973946588954117,239.0,greater,4.095835674893588e-20,[12.63   inf],0.5268639952018139,1.093e+17,0.9999999999999999,47.40091575091575,36.699629216698014,32.26888392857143,17.206059156246145,15.132031822344324,15.132031822344324
T-test,Pre- vs Post Correctness across both Conditions (Path Tracing),,4.784632844269259,119.0,greater,2.4818015302714338e-06,[0.53  inf],0.4080254866653317,5730.963,0.9974388540431001,18.06388888888889,1.948073993448559,17.25277777777778,2.0106180334770727,0.81111111111111,0.81111111111111
T-test,Pre- vs Post Optimality across both Conditions (ToH),,12.261292269885091,119.0,greater,3.786627509423542e-23,[25.47   inf],1.247408994964594,1.146e+20,1.0,76.73794261294262,31.122472376013228,47.28499007936508,11.708435874878184,29.452952533577538,29.452952533577538
T-test,Pre- vs Post Speed across both Conditions (BothHypotheses),,10.687052571552115,239.0,greater,2.4036793768286015e-22,[89.23   inf],0.5124840724642556,1.703e+19,0.999999999999999,346.23446275833334,255.6750999227174,240.69830341541666,138.1726568903635,105.53615934291668,0.3048112498742778
