,Name,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,Mean Sample 1 (Seconds),SD Sample 1 (Seconds),Mean Sample 2 (Seconds),SD Sample 2 (Seconds),Diff In Seconds,Fraction In Seconds
T-test,Accuracies' Stats BTW Assessment and Testing Path Tracing in H1 of Experimental Intervention,,3.4983899112525805,29.0,greater,0.0007654555014101408,[0.61  inf],0.6459374564966684,45.547,0.9647577015065026,18.177777777777777,1.808894348886108,17.0,1.776388345929897,1.1777777777777771,1.1777777777777771
T-test,Speed's Stats BTW Assessment and Testing Path Tracing in H1 of Experimental Intervention,,1.7671798941619279,29.0,greater,0.0438607806989606,[0.59  inf],0.27860443063352364,1.543,0.43857994058354943,162.96140686666666,57.01490531543151,147.61459556666668,51.143304243900936,15.346811299999985,0.09417451404648579
0,Metrics Stats BTW Assessment and Testing for ToH in H1 of Experimental Intervention,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing ToH in H1 of Experimental Intervention,,1.7119113869674605,29.0,greater,0.048794506202031844,[0.03  inf],0.36765573106542077,1.423,0.6261070414197187,27.3723175,11.612663900891338,23.533986033333335,8.710201821263423,3.8383314666666664,0.14022676255551494
T-test,Interruption Lag's Stats BTW Assessment and Testing ToH in H1 of Experimental Intervention,,5.440273823294353,29.0,greater,3.733095035590106e-06,[5.83  inf],0.8748863212117789,5522.131,0.9987836959072753,27.309390766666667,11.987203770301694,18.831951373333332,6.150646525503438,8.477439393333334,0.3104221352195355
T-test,Accuracies' Stats BTW Assessment and Testing ToH in H1 of Experimental Intervention,,5.27494670798623,29.0,greater,5.906910310207832e-06,[24.75   inf],1.1417825706473288,3625.301,0.9999999997997089,91.16404151404151,42.83414409480879,54.647433862433864,11.948036788070214,36.51660765160765,36.51660765160765
T-test,Speed's Stats BTW Assessment and Testing ToH in H1 of Experimental Intervention,,5.87839712517949,29.0,greater,1.1123388056661704e-06,[171.85    inf],1.163547965407915,1.684e+04,0.9999999999073259,584.8180199,272.8785276488094,343.10253465666665,94.7210915270751,241.71548524333332,0.4133174372511043
0,Metrics Stats BTW Assessment and Testing for Path-Tracing in H1 of Control Comparison,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Path Tracing in H1 of Control Comparison,,2.4518676668903305,29.0,greater,0.010235474118609802,[3.56  inf],0.4465687772465789,4.943,0.7713797150919836,82.57315223333333,23.21152141638118,70.97887109999999,27.648600512761085,11.59428113333334,0.1404122383576987
T-test,Interruption Lag's Stats BTW Assessment and Testing Path Tracing in H1 of Control Comparison,,1.9971836418024582,29.0,greater,0.02763259697667412,[0.59  inf],0.36481247263909095,2.21,0.6203346137876439,25.9157267,8.422759423709477,21.9450673,12.573276079666636,3.970659399999999,0.15321427972922708
T-test,Accuracies' Stats BTW Assessment and Testing Path Tracing in H1 of Control Comparison,,0.8970190976830726,29.0,greater,0.18854770111212144,[-0.28   inf],0.1381329383054504,0.562,0.18251026363851763,17.98888888888889,1.971055993216596,17.677777777777777,2.433536267539915,0.31111111111111356,0.31111111111111356
T-test,Speed's Stats BTW Assessment and Testing Path Tracing in H1 of Control Comparison,,1.8491184148519373,29.0,greater,0.037329263708856496,[1.5 inf],0.3290909924814338,1.747,0.5459275288190704,163.6351283,49.34137528467493,145.12227346666666,60.69265749201905,18.512854833333336,0.11313496695766233
0,Metrics Stats BTW Assessment and Testing for ToH in H1 of Control Comparison,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing ToH in H1 of Control Comparison,,4.157890236962311,29.0,greater,0.00013008323821938752,[3.26  inf],0.5023432152442476,219.574,0.8511776689663964,31.650944566666666,12.227670864379249,26.130681333333335,9.162473446713125,5.520263233333331,0.17441069481215488
T-test,Interruption Lag's Stats BTW Assessment and Testing ToH in H1 of Control Comparison,,4.532715983549512,29.0,greater,4.637741564585783e-05,[3.6 inf],0.6891781102228316,555.561,0.9793141228562577,25.9357642,9.644171823119974,20.169656133333334,6.505744063633929,5.766108066666668,0.22232265925160855
T-test,Accuracies' Stats BTW Assessment and Testing ToH in H1 of Control Comparison,,5.740249938439088,29.0,greater,1.6277204935468034e-06,[12.15   inf],1.1633128000646926,1.185e+04,0.9999999999065441,65.61507936507937,18.20100689687586,48.35492063492064,9.712105391492955,17.26015873015873,17.26015873015873
T-test,Speed's Stats BTW Assessment and Testing ToH in H1 of Control Comparison,,5.445485519959762,29.0,greater,3.6795297120073093e-06,[125.05    inf],0.7725262820719943,5595.9,0.9935220647338732,514.39308822,292.0637494171975,332.62445004666665,147.41733247692386,181.76863817333333,0.35336524213869874
0,Metrics Stats BTW Assessment and Testing for Path-Tracing in H2 of Experimental Intervention,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Path Tracing of Experimental Intervention H2,,2.8491732652451134,29.0,greater,0.003991175105649156,[4.1 inf],0.39707645651438567,10.906,0.6839742319577515,82.73907083333333,25.539684479340107,72.569878,24.81451320917492,10.169192833333327,0.12290678068911108
T-test,Interruption Lag's Stats BTW Assessment and Testing Path Tracing of Experimental Intervention,,4.673367925919241,29.0,greater,3.1416504248374066e-05,[3.27  inf],0.5845104170526694,790.392,0.9306414522714914,25.0967718,10.529476112656429,19.95515564,6.223075352332985,5.141616159999998,0.2048716146034367
