,0
0,6.381913066666668
1,6.484214400000001
2,3.646219533333334
3,3.264899666666667
4,3.5957922666666664
5,3.1207127333333324
6,2.619006466666667
7,3.849206133333333
8,4.954092133333333
9,3.961658999999999
10,2.9540462
11,2.7945333999999997
12,2.9662930666666663
13,2.617026266666666
14,3.9919733999999996
15,2.2210088666666663
16,3.2091461333333333
17,2.7501062
18,2.7567928
19,2.2826598
20,2.724299666666667
21,2.2012331999999994
22,2.5216133999999997
23,2.4983927999999995
