,0
0,3.4987264
1,2.227946666666667
2,2.0422799333333335
3,1.9775331999999999
4,2.089273206666667
5,1.8901332
6,1.9909044666666664
7,1.8896999399999999
8,4.2449928
9,3.2461338000000004
10,2.2597663999999997
11,2.3739798666666663
12,3.418999466666667
13,2.4857597999999994
14,2.1426865999999998
15,2.5199662666666662
16,2.103652933333333
17,1.7412666733333333
18,1.6148134133333334
19,1.7042398666666665
20,1.8654399533333335
21,1.8564331333333333
22,1.8410131933333334
23,2.0337132
