,0
0,4.7504252
1,2.497506266666667
2,2.396906466666666
3,2.828359666666666
4,1.9964265333333338
5,2.2097598666666665
6,2.352339733333333
7,2.2336399333333334
8,4.930632533333333
9,4.012532600000001
10,2.5245263333333336
11,2.7618796000000003
12,2.9976260666666663
13,3.9110734000000003
14,2.834452933333334
15,3.7956395333333344
16,2.6909729333333328
17,2.2120799333333334
18,2.123686466666667
19,2.3636398666666665
20,2.317226466666667
21,2.0973664733333335
22,2.1377999400000003
23,2.0879734
