,0
0,5.0496040666666655
1,3.110408733333334
2,3.301686933333333
3,2.895753533333333
4,2.674611466666667
5,2.169162066666667
6,2.0451268666666667
7,3.1443717333333328
8,4.4155154
9,2.8165330666666666
10,2.7878067333333334
11,2.2689755333333332
12,3.0638587999999998
13,2.3356670000000004
14,2.2264535333333333
15,2.1120601333333338
16,3.2281574666666666
17,2.3170024666666666
18,3.6771186
19,2.5762669333333332
20,2.226809133333333
21,1.9573576666666668
22,2.0745622
23,1.7504068666666663
